10.07.2020;5;6;9;15;29;4;9
3.07.2020;12;34;36;47;48;5;7
26.06.2020;14;16;32;34;47;7;9
19.06.2020;2;22;33;38;47;2;9
12.06.2020;7;16;22;30;48;2;8
5.06.2020;9;16;17;29;39;1;8
29.05.2020;8;22;31;32;36;6;10
22.05.2020;12;15;32;40;45;7;10
15.05.2020;21;27;29;34;49;8;10
8.05.2020;9;11;15;36;43;8;9
1.05.2020;6;11;12;21;41;1;2
24.04.2020;6;13;15;34;35;1;5
17.04.2020;1;18;23;33;41;2;6
10.04.2020;2;7;8;43;50;2;3
3.04.2020;3;21;26;40;41;8;10
27.03.2020;13;19;23;34;41;3;8
20.03.2020;9;14;28;30;37;3;10
13.03.2020;1;17;29;39;42;7;8
6.03.2020;15;19;35;36;41;5;10
28.02.2020;12;22;24;29;38;5;6
21.02.2020;2;13;39;45;47;4;6
14.02.2020;2;6;30;32;49;1;4
7.02.2020;7;16;22;36;44;3;4
31.01.2020;1;7;12;23;39;3;4
24.01.2020;5;12;20;29;48;7;9
17.01.2020;1;23;32;45;49;5;10
10.01.2020;4;14;25;34;49;4;9
3.01.2020;6;27;30;35;41;4;5
27.12.2019;7;12;28;34;45;3;6
20.12.2019;12;20;21;22;35;4;10
13.12.2019;25;31;38;49;50;5;10
6.12.2019;8;14;23;30;45;1;9
29.11.2019;2;3;30;31;45;6;8
22.11.2019;3;12;24;37;38;3;7
15.11.2019;10;19;24;30;39;2;4
8.11.2019;14;20;23;39;49;4;10
1.11.2019;3;17;31;34;40;1;2
25.10.2019;2;30;34;35;45;1;2
18.10.2019;6;9;31;43;44;6;9
11.10.2019;8;12;13;39;44;4;9
4.10.2019;15;19;20;45;49;7;8
27.09.2019;21;24;26;34;47;4;6
20.09.2019;17;21;41;48;49;4;8
13.09.2019;3;21;22;33;47;2;9
6.09.2019;21;24;29;30;50;1;5
30.08.2019;10;18;32;35;46;3;10
23.08.2019;15;18;19;41;42;4;6
16.08.2019;7;20;35;42;44;3;7
9.08.2019;2;4;20;21;49;9;10
2.08.2019;6;11;38;41;44;9;10
26.07.2019;3;8;30;46;48;1;3
19.07.2019;31;32;45;47;49;7;9
12.07.2019;31;36;40;42;45;7;9
5.07.2019;1;15;34;48;50;6;10
28.06.2019;18;25;26;35;38;5;6
21.06.2019;20;27;37;41;45;1;7
14.06.2019;8;23;40;41;42;2;10
7.06.2019;7;8;20;35;38;5;9
31.05.2019;10;12;35;36;43;2;5
24.05.2019;8;26;38;47;50;3;7
17.05.2019;20;27;33;35;46;5;9
10.05.2019;5;7;15;19;29;3;8
3.05.2019;3;9;10;19;42;1;7
26.04.2019;1;6;11;17;38;4;8
19.04.2019;18;21;37;43;47;1;3
12.04.2019;14;16;21;30;37;4;8
5.04.2019;22;31;43;44;50;1;9
29.03.2019;4;9;15;24;42;8;9
22.03.2019;15;20;24;44;49;7;9
15.03.2019;1;2;11;19;47;2;7
8.03.2019;4;29;30;31;45;1;7
1.03.2019;7;16;18;19;24;1;6
22.02.2019;14;16;21;25;26;8;10
15.02.2019;1;24;30;31;47;7;9
8.02.2019;5;8;21;24;26;4;5
1.02.2019;6;29;38;45;47;2;3
25.01.2019;24;25;28;35;48;4;8
18.01.2019;2;9;23;36;47;2;9
11.01.2019;6;12;35;39;49;4;9
4.01.2019;3;10;25;32;43;1;3
28.12.2018;19;24;31;38;40;7;10
21.12.2018;3;16;20;34;49;2;10
14.12.2018;4;14;24;26;30;9;10
7.12.2018;4;16;21;31;42;4;6
30.11.2018;18;22;35;36;41;3;4
23.11.2018;17;22;28;31;46;5;10
16.11.2018;13;15;18;39;45;5;6
9.11.2018;8;32;34;46;49;3;5
2.11.2018;5;17;27;33;42;9;10
26.10.2018;18;19;33;38;44;4;10
19.10.2018;9;12;28;32;48;7;8
12.10.2018;6;26;31;42;50;2;9
5.10.2018;12;15;32;44;49;5;7
28.09.2018;3;8;13;18;40;6;10
21.09.2018;5;8;16;42;46;2;10
14.09.2018;24;33;35;46;49;5;9
7.09.2018;4;7;28;36;43;1;6
31.08.2018;3;6;9;18;24;2;7
24.08.2018;8;25;26;38;48;6;9
17.08.2018;2;12;32;43;44;3;4
10.08.2018;4;15;17;21;23;6;7
3.08.2018;4;8;12;25;31;7;8
27.07.2018;2;22;40;43;50;3;8
20.07.2018;13;33;40;42;43;7;9
13.07.2018;13;14;21;34;46;2;5
6.07.2018;2;7;24;38;45;5;8
29.06.2018;9;18;30;47;48;4;6
22.06.2018;16;24;33;35;43;6;7
15.06.2018;1;5;7;9;21;3;10
8.06.2018;5;13;22;36;39;9;10
1.06.2018;14;19;21;30;32;4;7
25.05.2018;15;31;35;40;46;3;8
18.05.2018;1;11;23;41;44;2;8
11.05.2018;3;14;17;37;39;5;10
4.05.2018;24;26;29;36;49;3;6
27.04.2018;9;21;31;32;33;9;10
20.04.2018;22;24;25;28;46;2;4
13.04.2018;3;10;21;25;34;7;10
6.04.2018;6;8;16;23;50;4;8
30.03.2018;5;15;17;29;32;5;7
23.03.2018;4;14;22;33;42;1;10
16.03.2018;4;27;37;48;49;3;4
9.03.2018;15;23;28;33;36;4;7
2.03.2018;16;18;20;27;46;3;5
23.02.2018;18;26;33;42;46;4;10
16.02.2018;4;8;19;25;44;9;10
